Company Name,Reason For Rejection,Evidence
Bharat Forge,Revenue above ₹500 Cr,FY24 revenue significantly above assignment limit
Endurance Technologies,Revenue above ₹500 Cr,Large listed auto-component company exceeding target revenue band
Varroc Engineering,Revenue above ₹500 Cr,Revenue exceeds ₹500 Cr limit
Force Motors,Revenue above ₹500 Cr,Revenue exceeds target company size
Rucha Engineers,Revenue above ₹500 Cr,Tracxn/public financial data indicates revenue above threshold
Autoline Industries,Revenue above ₹500 Cr,Revenue exceeds assignment criteria
Kalyani Technoforge,Subsidiary of large group,Part of Kalyani/Bharat Forge group structure
Concord Technologies,Not a producer,Functions primarily as systems integrator/distributor of third-party products
Polyhydron,Not Pune headquartered,"Primary operations located in Belgaum, not Pune"
Hi-Tech Gears,Outside target scope,Not Pune headquartered and outside selected city criteria
